Отбор...;
128;60,1586279749755;
129;60,1582832041563;
130;60,1586078556008;
131;60,1586389649355;
132;60,1586475969529;
133;60,1577878761595;
134;60,1592287684678;
135;60,1602413219119;
136;60,1585754337239;
137;60,1593907381176;
138;60,1588399403588;
139;60,1598025047692;
140;60,158688564213;
141;60,1581361667535;
142;60,1589190328254;
143;60,1591610017307;
144;60,1587984773059;
145;60,1596406320134;
146;60,1587135636598;
147;60,1593030625931;
148;60,159179296798;
149;60,1590144485561;
150;60,1587983887451;
Population 5;
Отбор лучших...;
Скрещивание...;
101;60,1591103717322;
102;60,1586616660146;
103;60,1590257585562;
104;60,1622938250289;
105;60,1616180647129;
106;60,15928139231;
107;60,1582274835411;
108;60,1585822538608;
109;60,1586673907214;
110;60,1596556242618;
111;60,1577276635143;
112;60,1590614185697;
113;60,1591575373536;
114;60,1594061456513;
115;60,1590329221969;
116;60,1587799773428;
117;60,1597750800815;
118;60,1589859082441;
119;60,1577859169719;
120;60,1590979543303;
121;60,1591077100769;
122;60,1587209171228;
123;60,156374741613;
124;60,1591799900726;
125;60,1590917779489;
126;60,1596172390584;
127;60,1590799139787;
128;60,1587262277671;
129;60,1588589310535;
130;60,1619636063155;
131;60,158428629896;
132;60,1585448983774;
133;60,1586217551512;
134;60,15965472003;
135;60,1590470373814;
136;60,1590528808664;
137;60,1589574730279;
138;60,1594369725646;
139;60,157899476978;
140;60,1588745941308;
141;60,1596549684968;
142;60,1588582176881;
143;60,1595594741155;
144;60,1595408635936;
145;60,1588282886313;
146;60,1587830655269;
147;60,1589592834559;
148;60,1588391620664;
149;60,1589880653827;
150;60,1583009572935;
Population 6;
Отбор лучших...;
Скрещивание...;
101;60,1588774086709;
102;60,1587496353992;
103;60,1589515463056;
104;60,1589972174166;
105;60,1586319566754;
106;60,1590251528074;
107;60,1588368022048;
108;60,15786915271;
109;60,1585616455969;
110;60,1586316347706;
111;60,1586055765646;
112;60,158765662506;
113;60,1590631654702;
114;60,1586733648306;
115;60,1589905377516;
116;60,1580372999583;
117;60,1588728552277;
118;60,1592986002473;
119;60,1590998798884;
120;60,1574796355535;
121;60,160664007992;
122;60,1588822520536;
123;60,159156583505;
124;60,1588072922722;
125;60,1590540735918;
126;60,1587882883208;
127;60,1589083034579;
128;60,1525340957351;
129;60,1589949804754;
130;60,1590572016463;
131;60,1592660007311;
132;60,1591768719372;
133;60,1599531631635;
134;60,1597547348197;
135;60,1586750160941;
136;60,1592250855888;
137;60,1587997112573;
138;60,158891066753;
139;60,159396013633;
140;60,1596914859644;
141;60,1593692489328;
142;60,1585945661201;
143;60,1585410724035;
144;60,1585610984344;
145;60,1596427262882;
146;60,1589719119629;
147;60,158445491545;
148;60,1586996430719;
149;60,1594201042895;
150;60,1595375598191;
Population 7;
Отбор лучших...;
Скрещивание...;
101;60,1591998010215;
102;60,1600310318273;
103;60,1599902995124;
104;60,159076670006;
105;60,158707150866;
106;60,1587379769219;
107;60,1593806450944;
108;60,1592411188386;
109;60,1590885650833;
110;60,1590254503574;
111;60,1571781732407;
112;60,1586830867595;
113;60,1591845634027;
114;60,1587917206929;
115;60,1586795495864;
116;60,1592035962193;
117;60,158855336374;
118;60,1589426964744;
119;60,1591294306;
120;60,1586134914925;
121;60,1590976648204;
122;60,1589011932597;
123;60,1588541377154;
124;60,1596290553042;
125;60,1585835727791;
126;60,1593677124802;
127;60,1587763106292;
128;60,1590156206226;
129;60,1589020269155;
130;60,1587791262406;
131;60,1587433373288;
132;60,1596771603535;
133;60,1587150118684;
134;60,1599943309405;
135;60,1586916246189;
136;60,1606752311159;
137;60,1590710095166;
138;60,1593046212015;
139;60,158641522279;
140;60,159799237301;
141;60,1591616404675;
142;60,1587635200233;
143;60,1596756883422;
144;60,1588418040109;
145;60,1588258868976;
146;60,1589486440263;
147;60,1604408480067;
148;60,1606499738768;
149;60,159983913176;
150;60,1593194597037;
Population 8;
Отбор лучших...;
Скрещивание...;
101;60,1593032457383;
102;60,1593524601208;
103;60,1591935256663;
104;60,1597788445879;
105;60,1589366953481;
106;60,1601915358432;
107;60,1602771421048;
108;60,1596758694404;
109;60,1596531190513;
110;60,1586109696599;
111;60,1588057309192;
112;60,1591650113014;
113;60,1590596519612;
114;60,1586103868015;
115;60,1593212005844;
116;60,1589019279661;
117;60,1588306932788;
118;60,1602741937351;
119;60,1583802817069;
120;60,1589370817475;
121;60,1586245291096;
122;60,1590238305994;
123;60,158096459675;
124;60,1593826664646;
125;60,1587542410295;
126;60,1587369783837;
127;60,157532888446;
128;60,1598407446919;
129;60,1604170423415;
130;60,1594790646972;
131;60,1594760689462;
132;60,1588654616612;
133;60,1587364645028;
134;60,1599314768704;
135;60,1586252786463;
136;60,1587431219056;
137;60,1600943839754;
138;60,1594604743114;
139;60,1590142064591;
140;60,160159318821;
141;60,1590352076349;
142;60,1586632088124;
143;60,1597784151178;
144;60,1606831084146;
145;60,1594061143258;
146;60,1588658327288;
147;60,1592510542829;
148;60,1591499137078;
149;60,1596479979797;
150;60,1629953782737;
Population 9;
