Отбор...;
119;52,79404451
120;52,8526304
121;52,44640126
122;51,71418705
123;52,14693827
124;51,25584091
125;50,86745392
126;51,50472105
127;50,73024591
128;53,28076449
129;52,40029061
130;52,58059972
131;53,08685113
132;53,71764726
133;53,19838145
134;52,01816959
135;51,05327584
136;51,30463159
137;49,27938272
138;53,02706942
139;51,05427319
140;52,90170278
141;52,1440456
142;53,23402645
143;51,80141116
144;52,24482979
145;53,47492375
146;50,88386373
147;50,62490695
148;51,1867838
149;50,8655579
150;52,02084702
151;52,56142254
152;50,88412118
153;52,37129369
154;50,83508631
155;51,34876961
156;52,61667634
157;52,05693886
158;50,91581476
159;51,87425744
160;53,71248369
161;52,41591888
162;51,86154466
163;52,27272601
164;52,21677117
165;50,94633165
166;51,75921008
167;50,81041436
168;50,25158267
169;52,02867634
170;52,57126018
171;51,89059641
172;49,96880891
173;49,93033948
174;51,62359262
175;51,43303678
176;53,46010193
177;52,01556888
178;53,8558039
179;51,90465388
180;51,55482508
181;51,51172167
182;52,43491326
183;52,50463934
184;52,90673037
185;52,49569992
186;51,20876273
187;51,42242161
188;54,22521569
189;51,32791932
190;51,95131816
191;51,97990711
192;50,04940821
193;50,84113168
194;54,10367244
195;52,84184997
196;53,19123389
197;51,77640311
198;52,13848912
199;50,21002155
200;49,84404159
Population 8;
Отбор лучших...;
Скрещивание...;
101;52,0271479
102;49,13844772
103;53,10034322
104;51,74292574
105;50,56226669
106;52,27151412
107;51,22172574
108;52,96359404
109;51,4896122
110;53,94798211
111;49,17687144
112;48,54454541
113;52,37360051
114;51,65704801
115;51,88125937
116;53,15857234
117;51,71114563
118;51,36183295
119;53,61769696
120;51,79801418
121;51,24526864
122;53,33562429
123;53,50538654
124;52,07778906
125;51,74272201
126;52,39570516
127;52,14217899
128;53,05633281
129;49,69597218
130;50,55250513
131;53,43100468
132;51,84570025
133;51,21088937
134;49,76951181
135;53,93439315
136;52,55114919
137;51,75460571
138;51,08738249
139;50,83021448
140;51,02875856
141;51,84272703
142;52,45464632
143;51,90359364
144;52,8204536
145;52,447819
146;53,74907686
147;51,923266
148;51,15268787
149;52,8878915
150;50,32322521
151;51,15749741
152;52,42098004
153;52,82013627
154;49,75732354
155;51,32453166
