Отбор...;
101;54,6248876977173;
102;6,2348898272231;
103;59,4837238705046;
104;59,5312938590832;
105;58,9659297282664;
106;56,7307911922501;
107;56,4592527737929;
108;54,6599670655233;
109;52,4863598276638;
110;56,7486724895771;
111;43,9284759794796;
112;4,35418795347128;
113;32,6525600237232;
114;55,8064493689766;
115;8,42464859698771;
116;46,6566186840539;
117;33,7253122254319;
118;35,7729520558155;
119;48,9270112626474;
120;55,0968140334414;
121;46,256085129107;
122;4,38549296901419;
123;55,1172442872058;
124;54,894900933689;
125;54,1438821447161;
126;57,5044140957086;
127;54,7608148035189;
128;57,4270597944353;
129;45,9120235780604;
130;57,7393778906464;
131;31,2348645354836;
132;57,1314740084362;
133;56,4858662616115;
134;59,5341580403342;
135;31,8645911685387;
136;57,4487304866221;
137;59,4627854390591;
138;53,2969595142953;
